,geoid_long,stab,state,tract,block_group,labor_force,unemployed,unemployment_rate,county,geoid
79,15000US110010014021,DC,11,001402,1,425,0,0.0,001,110010014021
80,15000US110010014022,DC,11,001402,2,358,18,5.03,001,110010014022
81,15000US110010014023,DC,11,001402,3,938,10,1.07,001,110010014023
82,15000US110010015001,DC,11,001500,1,1042,37,3.55,001,110010015001
83,15000US110010015002,DC,11,001500,2,417,0,0.0,001,110010015002
84,15000US110010015003,DC,11,001500,3,256,0,0.0,001,110010015003
85,15000US110010015004,DC,11,001500,4,605,51,8.43,001,110010015004
86,15000US110010015005,DC,11,001500,5,723,0,0.0,001,110010015005
87,15000US110010016001,DC,11,001600,1,878,7,0.8,001,110010016001
88,15000US110010016002,DC,11,001600,2,263,30,11.41,001,110010016002
89,15000US110010016003,DC,11,001600,3,622,13,2.09,001,110010016003
90,15000US110010016004,DC,11,001600,4,1065,40,3.76,001,110010016004
91,15000US110010017021,DC,11,001702,1,966,62,6.42,001,110010017021
92,15000US110010017022,DC,11,001702,2,1270,109,8.58,001,110010017022
93,15000US110010018031,DC,11,001803,1,530,45,8.49,001,110010018031
94,15000US110010018032,DC,11,001803,2,958,45,4.7,001,110010018032
95,15000US110010018033,DC,11,001803,3,757,76,10.04,001,110010018033
96,15000US110010018041,DC,11,001804,1,789,0,0.0,001,110010018041
97,15000US110010018042,DC,11,001804,2,1166,400,34.31,001,110010018042
98,15000US110010018043,DC,11,001804,3,1015,102,10.05,001,110010018043
99,15000US110010019011,DC,11,001901,1,482,0,0.0,001,110010019011
100,15000US110010019012,DC,11,001901,2,335,0,0.0,001,110010019012
101,15000US110010019013,DC,11,001901,3,981,38,3.87,001,110010019013
102,15000US110010019014,DC,11,001901,4,545,37,6.79,001,110010019014
103,15000US110010019021,DC,11,001902,1,870,21,2.41,001,110010019021
104,15000US110010019022,DC,11,001902,2,431,42,9.74,001,110010019022
105,15000US110010020011,DC,11,002001,1,1417,53,3.74,001,110010020011
106,15000US110010020012,DC,11,002001,2,508,35,6.89,001,110010020012
107,15000US110010020021,DC,11,002002,1,1097,17,1.55,001,110010020021
108,15000US110010020022,DC,11,002002,2,922,143,15.51,001,110010020022
109,15000US110010020023,DC,11,002002,3,825,80,9.7,001,110010020023
110,15000US110010021011,DC,11,002101,1,833,63,7.56,001,110010021011
111,15000US110010021012,DC,11,002101,2,449,0,0.0,001,110010021012
112,15000US110010021013,DC,11,002101,3,907,19,2.09,001,110010021013
113,15000US110010021014,DC,11,002101,4,506,0,0.0,001,110010021014
114,15000US110010021015,DC,11,002101,5,665,0,0.0,001,110010021015
115,15000US110010021021,DC,11,002102,1,508,9,1.77,001,110010021021
116,15000US110010021022,DC,11,002102,2,503,12,2.39,001,110010021022
117,15000US110010021023,DC,11,002102,3,747,0,0.0,001,110010021023
118,15000US110010021024,DC,11,002102,4,349,17,4.87,001,110010021024
119,15000US110010021025,DC,11,002102,5,659,43,6.53,001,110010021025
